dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds,MAE_seed_boot_mean_ci95_lower,MAE_seed_boot_mean_ci95_upper,SMAPE_seed_boot_mean_ci95_lower,SMAPE_seed_boot_mean_ci95_upper,R2_seed_boot_mean_ci95_lower,R2_seed_boot_mean_ci95_upper,MAE_pooled,MAE_ci95_lower,MAE_ci95_upper,SMAPE_pooled,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_pooled,R2_ci95_lower,R2_ci95_upper,ci95_method,pooled_test_rows,pooled_distinct_test_cells
matr,matr_to_matr,xgboost,100,183.03801841635072,63.509987727129726,25.19318626647391,7.552839249716715,0.5273293236801603,0.22011447044578175,5,120.19015932112056,257.3810628309117,16.634938154974286,35.62337866360132,0.18215340896744064,0.6997575216804016,183.03801841635067,151.58430732456532,217.395767836956,25.19318626647391,21.035730382165703,29.942023529032024,0.49065300304455217,0.361877169745477,0.6095221397248266,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,catboost,100,171.66177211053974,37.24508043382918,23.671376618028027,4.7734805808666385,0.5752479103793123,0.11839495888647317,5,110.3508375246287,243.23188714633162,15.512352001795842,33.54328553460659,0.25594274068597606,0.7317758050432654,171.6617721105398,140.1251957692581,202.07758610671613,23.671376618028024,19.757870886083243,28.194292315801952,0.5565373410765592,0.4580587067281044,0.6456838479692061,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,gaussian_process,100,204.12509843449828,43.60559233524605,27.735900191642678,4.853368003075925,0.3618908554870389,0.16751190092063134,5,128.511552743859,297.3674255711018,17.344727614064062,41.53177632189728,-0.0778227569857673,0.5870022600824046,204.1250984344983,165.42666156120373,245.73054616808562,27.735900191642678,22.54332585277672,34.058786235775976,0.34943299277647777,0.2254152503022042,0.46104408634115857,pooled_out_of_split_predictions,100,75
matr,matr_to_matr,stacking,100,180.62870698273574,38.32710392946948,24.64001282429468,4.286229402791562,0.5438394468101501,0.14428354348627423,5,119.2935337317471,252.27727079279686,16.63208182947431,34.64703874410815,0.13959280691453593,0.7150371579911976,180.6287069827357,151.17170836836036,211.60162552529522,24.64001282429468,20.78235465673025,29.196491886041844,0.5251281722115761,0.41429334806394225,0.6267684236944822,pooled_out_of_split_predictions,100,75
hust,hust_to_hust,elastic_net,50,231.88721901912658,19.654582765386778,15.52270831134837,1.3850489772569599,0.022634973978951756,0.09256099898942186,5,158.14416414590892,310.7433252903839,10.603785828182302,20.777007595514473,-1.5796144889348145,0.4693621126373964,231.8872190191266,196.4282332870353,266.6602420824118,15.522708311348369,13.135176180692676,17.972219926866575,0.030570819829186302,-0.33779405525049105,0.27661703017114886,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,pls,50,220.48266765494276,23.607755755475925,14.708017434443173,1.4580868504812141,0.05150849115420817,0.15402807694756332,5,145.65180961408177,304.919379732062,9.728211025823478,20.330488046944936,-1.4770784878283512,0.5397297196575896,220.48266765494282,183.51083005336727,260.8002294656712,14.708017434443171,12.276068628372693,17.45124420731414,0.05307314216627057,-0.2981718950430749,0.32767005489186246,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,random_forest,50,200.86984367552293,29.463253635622095,13.701637979202559,2.245891519003837,0.11867424581676386,0.21070754576689,5,121.51365305103393,292.64207448716996,8.281681328474196,20.08743096596404,-1.111458371089559,0.5942521398800779,200.8698436755229,161.71010242676556,243.43869837980648,13.701637979202557,11.018294779317353,16.72022486946925,0.1166096392703887,-0.2075203450549119,0.3810856946568952,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,xgboost,50,202.70753969538754,22.637371641422938,13.878708487747343,1.507231481895973,0.10970739695022938,0.2159645643409629,5,124.05681671470101,293.9173791254197,8.473908779446932,20.205111335304924,-1.2424190791846317,0.6013229599721117,202.70753969538754,164.72050997273737,246.17068370023398,13.87870848774734,11.283601534072242,16.940406236890865,0.11195811770618447,-0.2362272596926433,0.4078349125586639,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,catboost,50,196.19823062342206,22.879528826803845,13.355068934649799,1.7308788129778796,0.20061421543217275,0.21117344016290523,5,121.32665157304379,280.11283825448885,8.247280509340726,19.068044430964157,-0.7488457684401275,0.5839795445790781,196.1982306234221,160.42754912930926,233.33027091427485,13.355068934649802,10.858669497326652,16.11009355017065,0.19325744634490938,-0.07955693805588103,0.41682415715037585,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,gaussian_process,50,193.0223256100252,22.57182440075043,13.086639654102623,1.532259894972597,0.24029141842730134,0.11669014765290933,5,119.97129960348232,271.5802291829988,8.085359688835757,18.46197122158348,-0.8425342810171678,0.6214554893007922,193.02232561002518,158.08798314464755,229.35301717405267,13.086639654102623,10.783857187181288,15.878821585793444,0.24544029271397227,-0.026247452265880596,0.4448646841622439,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,stacking,50,198.11564133978658,22.320346217756935,13.504503081950816,1.6014925005093321,0.1544592454147994,0.1697759777577188,5,119.53868162609317,286.69650482504403,8.216817720534971,19.660544661003566,-0.9065859697576043,0.5744233418250716,198.11564133978655,160.94267650385603,237.99346889424734,13.504503081950817,10.931260133747541,16.39535694569793,0.15532012491904645,-0.12039116118922405,0.3885443634876538,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,elastic_net,100,186.59216008330407,35.560698058300474,12.277802902330382,2.5196324644236685,0.20428453851550987,0.18317701161594616,5,113.25138684212723,282.13455181653796,7.808881694576257,17.99030664393988,-1.586596010478798,0.731938989563433,186.59216008330407,149.7521577123755,227.8864102827004,12.277802902330382,10.17562287665253,14.74884676006866,0.20891316638559654,-0.30088733010553403,0.5361337063391539,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,pls,100,190.67483036024063,24.54484103326914,12.574083869563326,1.413541239094192,0.1907573958482683,0.2234322251608865,5,114.27275482342095,283.32371449861546,7.889932515178524,17.941315917700074,-1.652084115178172,0.7230242781187083,190.6748303602406,153.9680745499019,232.95873090545214,12.574083869563324,10.383931493802136,15.035997951177059,0.19926012824480954,-0.3119358284886957,0.5218568225482404,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,random_forest,100,177.9721588138117,28.271741403883453,12.156647262692406,2.207117491304396,0.3397522395445841,0.17042858196396238,5,112.14037579663909,253.7141549359685,7.675040571149665,17.339504348749283,-0.5792637812831678,0.6901980713860242,177.97215881381166,148.02684565312632,214.0971385871989,12.156647262692408,10.014524183813442,14.820963821800543,0.3396842406616475,0.07158991015646186,0.512373495226861,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,xgboost,100,182.1848543625751,13.880201604745658,12.43045608236788,1.1895720508783836,0.291309526695695,0.1242529058350634,5,110.20531303673405,263.0265685016186,7.554126112153408,18.096251595332838,-0.9554493158108761,0.6858458415665624,182.1848543625751,150.23834420198884,220.3880855604563,12.43045608236788,10.127800107493593,15.104625472433016,0.30270552921773985,-0.021215982365023704,0.505445500780194,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,catboost,100,181.8401361681132,22.798880425377114,12.313944221556124,1.941424145394376,0.28376513413006754,0.20222594509758496,5,112.11466399262827,264.4651699694949,7.643824229681099,17.840276144772197,-0.6079013569595244,0.6657445460489322,181.8401361681132,148.16325729194796,222.44969876103795,12.313944221556122,9.950093581278791,15.1957051107031,0.276516989065023,-0.003216018753912482,0.4973165601801523,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,gaussian_process,100,187.82118188297218,21.620196771601407,12.581877761996774,1.509740735101797,0.25780762292329545,0.18072855622804299,5,117.97034246873304,272.42800572383646,7.953602192562478,18.03526152936596,-1.063027422833533,0.6709821054558291,187.8211818829722,153.58145624092177,225.72085436035954,12.581877761996774,10.322059119563257,15.06604684189573,0.258720940431567,-0.09900900398394813,0.5094536864561343,pooled_out_of_split_predictions,60,43
hust,hust_to_hust,stacking,100,187.6617021369313,23.014689738580344,12.754365718528938,1.7852650772049987,0.26666861037733397,0.15305909113908597,5,117.7780021289813,268.17928841187563,8.141142980958916,18.170029942853223,-0.7902008460421805,0.651900240228116,187.66170213693127,152.9200673555527,225.3521380444899,12.754365718528938,10.359794614049449,15.46640626692221,0.26527505346534963,-0.02514874654036976,0.4685427103159505,pooled_out_of_split_predictions,60,43
